max_state_error,prediction,observed,error,relative_error
67,2500.000000000002,2500.0,1.8189894035458565e-12,7.275957614183426e-16
68,2500.000000000002,2500.0,1.8189894035458565e-12,7.275957614183426e-16
69,2500.000000000002,2500.0,1.8189894035458565e-12,7.275957614183426e-16
70,2500.000000000002,2500.0,1.8189894035458565e-12,7.275957614183426e-16
71,2500.000000000002,2500.0,1.8189894035458565e-12,7.275957614183426e-16
72,2500.000000000002,2500.0,1.8189894035458565e-12,7.275957614183426e-16
73,2500.000000000002,2500.0,1.8189894035458565e-12,7.275957614183426e-16
74,2500.000000000002,2500.0,1.8189894035458565e-12,7.275957614183426e-16
75,2500.000000000002,2500.0,1.8189894035458565e-12,7.275957614183426e-16
76,2500.000000000002,2500.0,1.8189894035458565e-12,7.275957614183426e-16
77,2500.000000000002,2500.0,1.8189894035458565e-12,7.275957614183426e-16
78,2500.000000000002,2500.0,1.8189894035458565e-12,7.275957614183426e-16
79,2500.000000000002,2500.0,1.8189894035458565e-12,7.275957614183426e-16
80,2500.000000000002,2500.0,1.8189894035458565e-12,7.275957614183426e-16
